N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
1994,Male,Unknown,Married,4 hours,850,0,Video,"Music, Literature",101,42,Once every two months
1996,Female,Unknown,In a Relationship,6 hours,1400,1,Text,"Sports, Gaming",82,41,Daily
1990,Male,Unknown,Single,3.5 hours,900,3,Video,"Social Media, Dance",89,37,2 times per week
2001,Female,High School,Single,4 hours,900,1,Video,"Dance, K-Pop",45,26,Daily
1990,Male,Bachelor's,Married,1 hour,100,1,Text,"Cooking, Gardening",35,17,Once every three months
1991,Female,Bachelor's,Single,3.5 hours,500,0,Video,"Travel, Photography",33,13,2 times per week
2001,Female,Bachelor's,Single,4 hours,800,3,Video,"Gaming, Anime",68,29,3 times per week
1990,Male,Doctoral,Married,1.5 hours,180,1,Text,"Science, History",5,2,Once per month
1999,Female,Bachelor's,In a Relationship,3.5 hours,650,2,Video,"Art, Literature",45,17,3 times per week
1993,Male,Master's,Divorced,2 hours,380,1,Text,"Business, Finance",12,6,Once per quarter
2003,Female,High School,Single,5 hours,1100,4,Video,"Social Media, Travel",55,27,Daily
1995,Male,Unknown,Married,4.5 hours,900,3,Video,"Music, Literature",107,38,Once every two months
1997,Female,Unknown,In a Relationship,6 hours,1500,2,Text,"Sports, Gaming",88,43,Daily
1995,Male,Master's,Single,4.5 hours,720,3,Image,"Technology, Travel",60,25,Once per week
1999,Female,Bachelor's,Married,2 hours,400,2,Video,"Food, Fashion",20,10,Once every two weeks
2003,Female,High School,Single,3 hours,300,0,Text,"Music, Movies",15,5,Daily
1998,Male,Doctoral,Married,1.5 hours,200,1,Video,"Science, Politics",5,2,Once every month
1990,Female,Bachelor's,In a Relationship,3 hours,600,4,Image,"Fitness, Health",35,15,3 times per week
2000,Male,High School,Single,5 hours,900,6,Video,"Gaming, Technology",75,30,Daily
1995,Male,Unknown,Divorced,3 hours,500,2,Text,"Literature, Music",25,8,Once every two months
1997,Female,Bachelor's,Single,4 hours,800,5,Image,"Art, Photography",50,20,2 times per week
1990,Male,Master's,Married,2.5 hours,300,1,Video,"Travel, History",10,4,Once every three months
1993,Female,Bachelor's,In a Relationship,4 hours,700,3,Text,"Fashion, Design",40,18,Once per week
1995,Male,Bachelor's,Married,5.5 hours,800,3,Image,"Technology, Fitness",77,31,Once per week
1990,Female,Master's,Single,3 hours,400,2,Text,"Cooking, Fashion",22,9,Once every two months
1990,Male,High School,In a Relationship,4 hours,600,1,Video,"Music, Movies",54,22,3 times per week
1992,Female,Bachelor's,Single,6 hours,1200,3,Video,"Art, Travel",92,39,Daily
1997,Female,High School,In a Relationship,4.5 hours,950,5,Text,"Literature, Animals",63,25,2 times per month
1990,Male,Doctoral,Married,2.5 hours,200,0,Image,"History, Philosophy",13,6,Once every three months
2000,Female,Bachelor's,Single,3 hours,300,2,Video,"Gaming, Music",41,17,Once per week
1990,Male,Master's,Divorced,3.5 hours,700,4,Video,"Science, Technology",45,19,Once every month
1993,Female,Bachelor's,Single,5 hours,1100,1,Text,"Fashion, Photography",79,34,4 times per week
1990,Male,Bachelor's,Married,4 hours,500,3,Video,"Sports, Cooking",37,15,2 times per month
1995,Male,Master's,Single,3 hours,700,2,Image,"Technology, Literature",40,20,Once a week
1995,Female,Bachelor's,Married,2.5 hours,300,0,Text,"Cooking, Travel",15,5,Once every two months
1990,Female,High School,In a Relationship,4.5 hours,1000,3,Video,"Fashion, Music",55,30,3 times per week
1990,Male,Bachelor's,Married,4 hours,800,1,Video,"Sports, Cooking",25,10,Once a month
2000,Female,High School,Single,5 hours,1200,5,Text,"Gaming, Art",70,35,Daily
1982,Male,Unknown,Divorced,3 hours,500,2,Image,"Photography, Technology",30,12,Once every three months
1993,Female,Master's,In a Relationship,2 hours,400,0,Video,"Dance, Literature",20,8,2 times per week
1995,Male,Bachelor's,Married,4 hours,900,4,Text,"History, Science",45,18,Once every two months
1998,Male,High School,Single,6 hours,1500,0,Video,"Travel, Gaming",80,40,4 times per week
1996,Female,Bachelor's,In a Relationship,3.5 hours,600,3,Image,"Art, Fashion",35,15,Once a week
1999,Male,Bachelor's,Single,5.5 hours,1100,2,Image,"Technology, Science",55,23,Once per week
1997,Female,Master's,Married,2.5 hours,400,3,Text,"Cooking, Fashion",17,8,Once every two months
2000,Female,High School,In a Relationship,3 hours,800,0,Video,"Music, Movies",40,19,3 times per week
1990,Male,Bachelor's,Divorced,4 hours,700,2,Video,"Sports, Reading",28,12,Once every three months
1995,Female,Bachelor's,Single,4.5 hours,1300,6,Image,"Fitness, Travel",68,31,2 times per week
1992,Male,Doctoral,Married,1 hour,150,1,Text,"History, Philosophy",9,5,Once per month
2003,Male,High School,Single,4 hours,950,3,Video,"Gaming, Tech",49,22,Daily
1990,Female,Master's,Married,3 hours,600,4,Video,"Art, Photography",38,15,Once every two months
1993,Female,Bachelor's,In a Relationship,5 hours,1000,2,Text,"Music, Cooking",60,25,Once per week
1990,Male,High School,Single,2.5 hours,300,0,Image,"Travel, Food",25,11,3 times per week
1993,Male,Bachelor's,Single,2 hours,450,2,Image,"Technology, Sports",42,19,Once per week
1996,Female,Master's,Married,3.5 hours,800,5,Video,"Fashion, Cooking",78,35,3 times per week
2003,Male,High School,In a Relationship,4 hours,700,3,Text,"Music, Gaming",57,24,Once every two weeks
1997,Female,Doctoral,Divorced,1.5 hours,200,1,Video,"Literature, Travel",12,6,Once per quarter
2003,Male,High School,Single,5.5 hours,950,4,Image,"Dance, Movies",65,28,2 times per week
1990,Female,Bachelor's,In a Relationship,3 hours,600,2,Text,"Art, Photography",30,15,Once per month
1991,Male,High School,Single,3 hours,500,3,Video,"Sports, Reading",50,21,Twice per month
1998,Female,Bachelor's,Married,4 hours,850,6,Video,"Music, Fashion",90,39,Once every two months
1995,Male,Unknown,In a Relationship,6 hours,1200,2,Text,"Travel, History",105,45,Once per month
1996,Female,High School,Single,4.5 hours,750,4,Image,"Fitness, Music",75,32,2 times per week
1995,Female,Bachelor's,In a Relationship,4 hours,800,2,Text,"Technology, Science",45,19,Once per week
1990,Male,Master's,Married,2.5 hours,300,0,Image,"History, Music",12,6,Once every month
2000,Male,High School,Single,3.5 hours,700,3,Video,"Gaming, Movies",58,25,2 times per week
1992,Female,Bachelor's,Married,5.5 hours,1200,5,Text,"Literature, Cooking",72,31,3 times per week
1995,Male,Doctoral,Single,1 hour,150,1,Video,"Art, Travel",15,7,Once per month
1998,Female,High School,In a Relationship,6 hours,1500,4,Image,"Fashion, Photography",90,39,Daily
1991,Female,Master's,Divorced,3 hours,600,2,Text,"Science, Nature",25,11,Once every two months
1997,Male,High School,Single,4 hours,900,6,Video,"Sports, Fitness",78,33,4 times per week
2003,Male,Bachelor's,Single,2 hours,200,0,Video,"Social Media, Technology",20,9,Once every two weeks
1997,Female,Bachelor's,Married,4.5 hours,1000,3,Text,"History, Politics",55,23,2 times per month
1999,Male,Bachelor's,In a Relationship,4.5 hours,1100,3,Image,"Technology, Literature",59,24,3 times per week
1990,Female,Master's,Single,2.5 hours,400,1,Text,"Art, Music",15,7,Once per month
1990,Male,High School,Married,3 hours,750,2,Video,"Sports, Cooking",74,31,Once every two weeks
2003,Female,Bachelor's,Single,5 hours,1300,5,Video,"Fashion, Beauty",68,29,Daily
1995,Male,Doctoral,Divorced,1 hour,200,0,Text,"History, Philosophy",5,2,Once every four months
2000,Female,Bachelor's,In a Relationship,3 hours,600,3,Image,"Food, Travel",40,18,2 times per month
1995,Male,High School,Single,4 hours,950,4,Video,"Gaming, Fitness",81,38,Once every three weeks
1990,Female,Master's,Married,3.5 hours,500,2,Text,"Science, Nature",28,12,Once every month
2000,Male,Bachelor's,Single,4 hours,800,3,Video,"Technology, Entrepreneurship",63,25,3 times per week
1992,Female,Bachelor's,In a Relationship,3.5 hours,700,2,Image,"Art, Photography",37,15,Once every two weeks
1995,Female,Bachelor's,Single,5.5 hours,1100,2,Text,"Music, Fashion",70,30,Once per week
1996,Male,Master's,Married,3 hours,450,3,Image,"Technology, Cooking",20,10,Once every two weeks
2000,Male,High School,Single,4 hours,950,5,Video,"Sports, Travel",55,25,Daily
1993,Female,Doctoral,Married,2.5 hours,300,1,Video,"Literature, History",15,8,Once every month
1993,Female,Master's,In a Relationship,4.5 hours,800,4,Text,"Art, Dance",40,20,2 times per week
1993,Male,Bachelor's,Married,3 hours,600,2,Image,"Gaming, Technology",25,12,Once every three months
1999,Female,High School,Single,6 hours,1300,3,Video,"Fashion, Cooking",75,35,3 times per week
1995,Male,Unknown,Divorced,1.5 hours,200,0,Text,"History, Nature",5,2,Once every six months
1992,Female,Bachelor's,In a Relationship,4 hours,700,2,Video,"Music, Travel",50,22,Once every two weeks
1992,Male,High School,Married,2 hours,400,1,Image,"Movies, Photography",10,5,Once per month
1995,Male,Bachelor's,Single,4 hours,800,3,Text,"Technology, Science",57,22,2 times per week
1997,Female,Master's,Married,3 hours,600,2,Image,"Cooking, Travel",49,18,Once per month
2000,Male,High School,Single,5.5 hours,1100,5,Video,"Music, Movies",72,31,Daily
1992,Female,Bachelor's,In a Relationship,2.5 hours,400,1,Video,"Fashion, Beauty",28,9,Once every two months
1995,Male,Doctoral,Married,1.5 hours,200,0,Text,"History, Politics",15,5,Once per quarter
1990,Female,High School,Divorced,3 hours,700,2,Image,"Art, Literature",39,14,Once every three months
1999,Male,Bachelor's,Single,4 hours,900,4,Video,"Sports, Gaming",62,25,3 times per week
1994,Female,Master's,In a Relationship,2 hours,300,1,Text,"Music, Dance",22,8,Once every two months
1994,Male,Bachelor's,Married,2 hours,300,1,Image,"Travel, Food",18,6,Once every four months
2002,Female,High School,Single,6 hours,1300,6,Video,"Fitness, Yoga",81,29,Daily
1995,Female,Bachelor's,In a Relationship,5.5 hours,800,3,Video,"Music, Film",55,23,Once per week
1995,Male,Master's,Married,2.5 hours,250,2,Text,"History, Politics",15,8,Once per month
1999,Female,High School,Single,4 hours,700,2,Image,"Food, Fashion",42,18,2 times per week
1993,Male,Bachelor's,Divorced,3 hours,400,0,Text,"Technology, Science",22,6,Once every two months
2003,Male,High School,Single,3.5 hours,1100,3,Video,"Sports, Fitness",49,20,Daily
1993,Female,Master's,Married,4 hours,600,2,Text,"Travel, Cooking",30,14,Once per month
2000,Male,Bachelor's,Single,6 hours,1300,5,Video,"Gaming, Technology",65,25,3 times per week
1993,Female,Doctoral,In a Relationship,2 hours,300,1,Image,"Art, Literature",38,12,2 times per week
1990,Male,Bachelor's,Married,4.5 hours,850,4,Video,"Music, Photography",40,16,Once every three months
1996,Female,High School,Single,5 hours,1500,2,Text,"Fashion, Beauty",70,30,Daily
1995,Male,Bachelor's,Single,5 hours,800,2,Video,"Technology, Gaming",55,23,3 times per week
1992,Female,Master's,Married,3 hours,300,1,Image,"Fashion, Food",15,6,Once per month
1990,Male,High School,Single,4.5 hours,1100,3,Text,"Sports, Music",63,29,Daily
1990,Female,Bachelor's,In a Relationship,2.5 hours,600,0,Video,"Cooking, Travel",40,18,2 times per month
2003,Female,High School,Single,4 hours,750,2,Video,"Art, Dance",48,20,4 times per week
1993,Male,Doctoral,Married,1 hour,200,0,Text,"Science, History",5,2,Once per quarter
1997,Male,High School,Single,6 hours,1300,5,Image,"Photography, Literature",70,32,3 times per week
1990,Female,Bachelor's,Divorced,3 hours,400,1,Video,"Fitness, Yoga",25,11,Once every two months
1999,Male,High School,Single,3.5 hours,950,4,Video,"Travel, Adventure",59,25,Daily
1995,Female,Master's,Married,2 hours,250,0,Text,"Literature, Nature",20,8,2 times per month
1999,Female,Bachelor's,Single,4.25 hours,800,2,Text,"Music, Painting",60,25,3 times per week
1990,Male,Master's,Married,2.5 hours,250,0,Image,"History, Cooking",15,6,Once per quarter
1997,Male,High School,In a Relationship,3.75 hours,700,3,Video,"Sports, Technology",75,30,Once every two weeks
1992,Female,Doctoral,Married,1.75 hours,200,1,Text,"Science, Travel",20,8,Once per month
1995,Male,Bachelor's,Divorced,2 hours,300,1,Video,"Business, Literature",25,10,Once every three months
2000,Female,High School,Single,5.5 hours,1100,5,Image,"Fashion, Makeup",70,35,Daily
1995,Male,Bachelor's,In a Relationship,4 hours,600,2,Text,"Literature, Gaming",50,20,2 times per week
1990,Female,High School,Single,3 hours,400,0,Video,"Cooking, Yoga",30,12,Once every two months
1990,Male,Bachelor's,Married,1.5 hours,150,0,Image,"Photography, Gardening",10,4,Once every four months
1992,Female,Master's,In a Relationship,3.25 hours,500,2,Video,"Travel, Music",45,18,3 times per week
1999,Female,Bachelor's,In a Relationship,4.2 hours,750,3,Video,"Fashion, Makeup",56,23,Once per week
1990,Male,Master's,Married,2.8 hours,400,2,Text,"Technology, Cooking",18,7,Once every two months
1994,Female,High School,Single,3.8 hours,550,2,Image,"Fitness, Yoga",45,19,Twice per week
1990,Male,Bachelor's,Married,5.5 hours,1100,4,Video,"Music, Movies",75,31,Once per month
2003,Male,High School,Single,6 hours,1300,5,Text,"Video Games, Technology",63,27,Three times per week
1995,Female,Bachelor's,In a Relationship,3.5 hours,600,2,Image,"Music, Travel",42,17,Once every two weeks
1995,Male,Doctoral,Divorced,1.5 hours,200,1,Video,"History, Art",12,5,Once every three months
1990,Female,Master's,Married,4 hours,850,3,Video,"Cooking, Photography",55,22,Once per week
2003,Male,Bachelor's,Single,2.5 hours,300,1,Text,"Politics, Literature",25,10,Once every two months
2000,Female,High School,Single,4.7 hours,900,4,Video,"Fashion, Reading",48,20,Twice per week
1995,Male,Bachelor's,Single,5 hours,1100,2,Image,"Technology, Science",55,23,Once per week
1997,Female,Master's,Married,3 hours,800,3,Text,"Fitness, Cooking",15,6,Once per month
2000,Female,High School,In a Relationship,4.5 hours,950,5,Video,"Music, Movies",70,31,2 times per week
1993,Male,Doctoral,Single,2.5 hours,400,1,Text,"Politics, History",30,12,Once every two weeks
1998,Female,Bachelor's,Married,6 hours,1300,3,Video,"Fashion, Beauty",90,39,3 times per week
1990,Male,Bachelor's,Single,4 hours,750,4,Image,"Travel, Food",40,19,Once per month
1990,Female,Master's,In a Relationship,3 hours,600,2,Text,"Literature, Art",25,9,Once every two months
1993,Male,High School,Divorced,3.5 hours,850,6,Video,"Music, Gaming",60,27,2 times per week
2003,Female,High School,Single,4 hours,1200,3,Video,"Dance, Fashion",75,34,Once every two weeks
1995,Male,Unknown,Married,2 hours,300,1,Text,"Fishing, Photography",20,8,Once every three months
1995,Male,Master's,Single,2.5 hours,700,2,Text,"Technology, Science",25,10,Once per week
1990,Female,Bachelor's,Married,3 hours,450,1,Image,"Cooking, Reading",18,7,Once every two months
1992,Male,High School,In a Relationship,4 hours,800,3,Video,"Music, Movies",45,20,3 times per week
1999,Female,Bachelor's,Single,5 hours,1200,5,Text,"Fashion, Beauty",58,24,Daily
1990,Male,Unknown,Married,6 hours,1600,6,Video,"Sports, Travel",70,30,2 times per month
2003,Female,High School,Single,4.5 hours,1000,4,Image,"Art, Animals",55,22,Daily
1990,Male,Master's,Divorced,2 hours,300,0,Text,"Politics, History",12,5,Once every three months
1995,Female,Bachelor's,In a Relationship,3.5 hours,600,2,Video,"Music, Art",30,15,Once per week
1990,Male,Doctoral,Married,1 hour,150,1,Image,"Science, Nature",20,8,Once every two months
1990,Female,High School,Single,3 hours,500,2,Text,"Fitness, Health",35,14,2 times per week
1995,Male,Master's,In a Relationship,3.5 hours,700,2,Image,"Technology, Science",54,23,Once per week
1990,Female,Bachelor's,Single,5 hours,1200,3,Text,"Fashion, Cooking",71,32,Twice per month
2000,Female,High School,Single,4 hours,950,1,Video,"Music, Movies",49,17,Once per month
1990,Male,Doctoral,Married,2.5 hours,400,0,Text,"History, Literature",15,6,Once every two months
1992,Female,Bachelor's,In a Relationship,6 hours,1400,5,Video,"Fitness, Yoga",88,40,Three times per week
1995,Male,High School,Divorced,1 hour,200,0,Image,"Travel, Photography",9,3,Once every three months
1990,Female,Master's,Married,4 hours,800,4,Video,"Art, History",63,28,Twice per month
1997,Male,Bachelor's,Single,3 hours,600,2,Text,"Gaming, Technology",41,18,Once every two weeks
1990,Female,High School,In a Relationship,3.5 hours,750,3,Video,"Cooking, Gardening",56,25,Once per month
1994,Male,Unknown,Single,2 hours,300,1,Text,"History, Music",20,8,Once every four months
1995,Female,Bachelor's,Single,4 hours,750,3,Image,"Technology, Fashion",40,18,3 times per week
1990,Male,Master's,Married,2.5 hours,300,2,Text,"History, Philosophy",15,7,Once per month
1990,Female,High School,In a Relationship,5 hours,1100,5,Video,"Music, Cooking",55,22,Daily
1994,Male,Doctoral,Divorced,1.5 hours,200,1,Text,"Literature, Politics",8,3,Once per quarter
2000,Female,High School,Single,3.5 hours,850,6,Video,"Sports, Travel",60,25,2 times per week
1990,Male,Bachelor's,Married,3 hours,400,2,Image,"Science, Photography",25,11,Once every two months
1997,Female,Unknown,In a Relationship,6 hours,1300,2,Text,"Gaming, Fashion",75,32,Once per month
1990,Male,High School,Married,4 hours,600,4,Video,"Food, Music",47,20,3 times per month
1990,Female,Bachelor's,Single,2 hours,250,1,Text,"Travel, Literature",20,9,Once per week
1994,Male,Master's,Single,3 hours,500,3,Video,"Technology, Fitness",30,14,2 times per month
1995,Female,Bachelor's,Single,4.5 hours,700,3,Video,"Photography, Travel",57,28,Once per week
1990,Male,Master's,Married,3 hours,400,2,Text,"Technology, Gaming",23,14,Once every two months
1998,Female,High School,Single,5 hours,1000,5,Image,"Fashion, Makeup",48,22,Daily
2000,Male,Bachelor's,In a Relationship,2.5 hours,600,1,Video,"Music, Movies",78,35,2 times per month
1993,Female,Doctoral,Married,1 hour,150,0,Text,"Literature, Science",15,5,Once every three months
1997,Male,High School,Single,4 hours,800,4,Video,"Sports, Fitness",64,29,3 times per week
1994,Female,Bachelor's,Divorced,3.5 hours,500,2,Text,"Art, History",11,7,Once per month
1992,Male,Master's,Married,1.5 hours,300,1,Image,"Finance, Business",31,15,Once every two months
1999,Female,High School,Single,6 hours,1200,6,Video,"Travel, Food",72,38,Once every two weeks
2001,Male,Bachelor's,In a Relationship,3 hours,450,2,Text,"Technology, Coding",17,9,Once per week
2001,Female,High School,Single,4 hours,900,1,Video,"Dance, K-Pop",45,26,Daily
1990,Male,Bachelor's,Married,1 hour,100,1,Text,"Cooking, Gardening",35,17,Once every three months
1991,Female,Bachelor's,Single,3.5 hours,500,0,Video,"Travel, Photography",33,13,2 times per week
2000,Female,High School,Single,5 hours,1000,1,Image,"Gaming, Anime",65,28,Daily
1990,Male,Doctoral,Married,1 hour,150,0,Text,"Science, History",0,5,Once per month
1998,Female,Bachelor's,In a Relationship,3.5 hours,600,4,Video,"Art, Literature",46,16,3 times per week
1990,Male,Master's,Divorced,2 hours,350,1,Text,"Business, Finance",10,4,Once per quarter
2002,Female,High School,Single,4.5 hours,1200,4,Video,"Social Media, Travel",51,26,Daily
1994,Male,Unknown,Married,4 hours,850,4,Video,"Music, Literature",101,42,Once every two months
1996,Female,Unknown,In a Relationship,6 hours,1400,0,Text,"Sports, Gaming",82,41,Daily
1990,Male,Unknown,Single,3.5 hours,900,3,Video,"Social Media, Dance",89,37,2 times per week
2001,Female,High School,Single,4 hours,900,1,Video,"Dance, K-Pop",45,26,Daily
1990,Male,Bachelor's,Married,1 hour,100,1,Text,"Cooking, Gardening",35,17,Once every three months
1991,Female,Bachelor's,Single,3.5 hours,500,0,Video,"Travel, Photography",33,13,2 times per week
1990,Male,High School,In a Relationship,2 hours,200,2,Image,"Cooking, Gaming",28,11,Once per week
1990,Female,Master's,Single,3 hours,700,5,Video,"Music, Travel",60,21,4 times per week
1995,Male,Bachelor's,Single,4.5 hours,800,3,Text,"Photography, Sports",55,18,3 times per week
1993,Female,Doctoral,Married,2.5 hours,600,2,Image,"Science, Reading",45,14,Once per month
1995,Female,Bachelor's,Single,4 hours,750,3,Video,"Fashion, Travel",40,15,Once per week
1990,Male,Master's,Married,3.5 hours,900,2,Text,"Technology, Gaming",30,12,Twice per month
1992,Female,High School,Single,5 hours,800,5,Image,"Photography, Music",55,20,Three times per week
1993,Male,Doctoral,Married,2 hours,600,2,Video,"Science, Reading",45,14,Once per month
1998,Female,Bachelor's,Single,3 hours,950,1,Text,"Art, Literature",65,28,Daily
1990,Male,High School,Single,5.5 hours,850,4,Video,"Sports, Travel",60,21,Four times per week
1990,Female,Bachelor's,In a Relationship,3 hours,700,2,Image,"Fashion, Dance",50,18,Twice per week
1990,Male,Unknown,Single,2.5 hours,500,0,Text,"Cooking, Gaming",25,10,Once every two months
1990,Female,Bachelor's,Married,4 hours,600,3,Video,"Music, Food",35,15,Once per month
1992,Male,Bachelor's,Single,3.5 hours,700,4,Image,"Travel, Photography",70,25,Daily
1993,Female,Master's,Single,4 hours,850,2,Text,"Literature, Writing",45,18,Once per week
1991,Male,Bachelor's,In a Relationship,3.5 hours,700,3,Image,"Sports, Fitness",60,23,Twice per week
1994,Female,Bachelor's,Married,5 hours,1000,4,Video,"Cooking, Food",50,20,Once per month
1998,Male,High School,Single,2.5 hours,500,1,Image,"Art, Painting",35,12,Once every three months
1991,Female,Doctoral,Single,6 hours,1200,0,Text,"Science, Research",70,25,Four times per week
1992,Male,Bachelor's,Married,4.5 hours,950,3,Video,"Travel, Adventure",55,22,Twice per week
1995,Female,Bachelor's,Single,3 hours,600,2,Image,"Fashion, Shopping",40,17,Once per week
1990,Male,High School,Single,5 hours,850,4,Video,"Music, Guitar",65,28,Three times per week
1994,Female,Master's,Divorced,2 hours,400,1,Text,"Literature, Poetry",25,10,Once every three months
1997,Male,Bachelor's,Single,3.5 hours,800,3,Video,"Technology, Coding",50,20,Once per week
1993,Female,Master's,Single,4 hours,850,2,Text,"Literature, Writing",45,18,Once per week
1991,Male,Bachelor's,In a Relationship,3.5 hours,700,3,Image,"Sports, Fitness",60,23,Twice per week
1994,Female,Bachelor's,Married,5 hours,1000,4,Video,"Cooking, Food",50,20,Once per month
1990,Male,High School,Single,2.5 hours,500,1,Image,"Art, Painting",35,12,Once every three months
1991,Female,Doctoral,Single,6 hours,1200,5,Text,"Science, Research",70,25,Four times per week
1990,Male,Bachelor's,Married,4.5 hours,950,3,Video,"Travel, Adventure",55,22,Twice per week
1995,Female,Bachelor's,Single,3 hours,600,2,Image,"Fashion, Shopping",40,17,Once per week
1990,Male,High School,Single,5 hours,850,4,Video,"Music, Guitar",65,28,Three times per week
1994,Female,Master's,Divorced,2 hours,400,1,Text,"Literature, Poetry",25,10,Once every three months
1997,Male,Bachelor's,Single,3.5 hours,800,3,Video,"Technology, Coding",50,20,Once per week
2000,Female,Bachelor's,Single,4 hours,700,2,Image,"Travel, Photography",55,22,Twice per week
1999,Male,High School,Single,3 hours,600,2,Video,"Gaming, Music",40,17,Once per week
1996,Female,Bachelor's,Married,4.5 hours,950,4,Text,"Cooking, Baking",70,25,Four times per week
2003,Male,High School,Single,2.5 hours,500,1,Image,"Art, Drawing",35,12,Once every three months
1992,Female,Master's,In a Relationship,5 hours,1100,0,Video,"Fashion, Makeup",75,30,Five times per week
1995,Male,Bachelor's,Married,3.5 hours,800,3,Text,"Reading, Writing",60,23,Twice per week
2006,Female,High School,Single,4 hours,600,2,Image,"Fashion, Travel",45,18,Once per week
1998,Male,Bachelor's,Married,5 hours,1000,5,Video,"Sports, Fitness",65,28,Three times per week
2004,Female,Bachelor's,Single,3 hours,750,2,Text,"Music, Dance",40,17,Once per week
1995,Male,Bachelor's,Single,3 hours,500,2,Video,"Travel, Photography",30,15,Once per week
1994,Female,Master's,Married,4 hours,800,3,Text,"Technology, Gaming",35,12,Twice per month
1996,Male,High School,Single,5 hours,700,4,Image,"Music, Guitar",50,20,Three times per week
1990,Female,Doctoral,Divorced,2.5 hours,600,1,Video,"Science, Reading",40,14,Once per month
1990,Male,Bachelor's,Single,6 hours,1100,5,Text,"Social Media, Travel",70,25,Four times per week
1991,Female,High School,Married,3.5 hours,900,2,Video,"Travel, Adventure",55,22,Twice per week
1992,Male,Bachelor's,Single,4 hours,650,3,Image,"Fashion, Shopping",45,17,Once per week
1994,Female,Master's,Single,3 hours,400,1,Text,"Literature, Poetry",25,10,Once every three months
1996,Male,Bachelor's,Single,5 hours,750,4,Video,"Technology, Coding",60,23,Once per week
1998,Female,Bachelor's,Single,3.5 hours,550,2,Image,"Fashion, Makeup",35,15,Twice per week
1991,Male,High School,Married,4.5 hours,850,3,Text,"Sports, Fitness",65,28,Three times per week
1993,Female,Bachelor's,Single,2 hours,300,1,Video,"Music, Dance",40,17,Once per week
1994,Male,Doctoral,Divorced,6 hours,1200,0,Image,"Cooking, Food",75,30,Four times per week
1995,Female,Bachelor's,Single,3 hours,700,2,Text,"Reading, Writing",50,20,Once per week
2001,Male,High School,Married,4 hours,500,3,Video,"Gaming, Technology",40,17,Twice per week
1990,Female,Bachelor's,Single,5 hours,950,5,Image,"Art, Painting",65,28,Once per week
1999,Male,Master's,Single,2.5 hours,400,1,Text,"Travel, Adventure",25,10,Once every three months
1996,Female,Bachelor's,Married,4 hours,800,4,Video,"Fashion, Shopping",60,23,Three times per week
2000,Male,High School,Single,3.5 hours,650,2,Text,"Music, Guitar",45,18,Twice per week
2005,Female,Bachelor's,Single,5 hours,900,3,Image,"Literature, Poetry",70,25,Once per week
1992,Male,Bachelor's,Single,4.5 hours,800,3,Video,"Technology, Gaming",38,16,Once per week
1996,Female,High School,In a Relationship,3 hours,500,1,Text,"Travel, Photography",25,10,Twice per week
1998,Male,Master's,Married,5 hours,1200,5,Image,"Art, Literature",50,20,Three times per week
1999,Female,Bachelor's,Single,2 hours,300,0,Video,"Music, Dance",15,5,Once per month
1995,Male,Doctoral,Single,6 hours,1500,8,Video,"Science, Technology",70,30,Four times per week
1990,Female,High School,Married,4 hours,600,2,Image,"Fashion, Makeup",45,18,Twice per week
2001,Male,Bachelor's,Single,3.5 hours,700,4,Text,"Gaming, Anime",60,25,Once per week
1993,Female,Unknown,In a Relationship,5 hours,1000,0,Video,"Travel, Adventure",20,8,Once every two months
1994,Male,Bachelor's,Single,3 hours,450,2,Text,"Literature, Poetry",55,22,Twice per week
1998,Female,High School,Single,4 hours,850,3,Image,"Social Media, Travel",65,28,Three times per week
1992,Male,Bachelor's,Single,4.5 hours,800,3,Video,"Technology, Gaming",38,16,Once per week
1996,Female,High School,In a Relationship,3 hours,500,1,Text,"Travel, Photography",25,10,Twice per week
1990,Male,Master's,Married,5 hours,1200,5,Image,"Art, Literature",50,20,Three times per week
1999,Female,Bachelor's,Single,2 hours,300,0,Video,"Music, Dance",15,5,Once per month
1991,Male,Doctoral,Single,6 hours,1500,8,Video,"Science, Technology",70,30,Four times per week
1990,Female,High School,Married,4 hours,600,2,Image,"Fashion, Makeup",45,18,Twice per week
2001,Male,Bachelor's,Single,3.5 hours,700,4,Text,"Gaming, Anime",60,25,Once per week
2006,Female,Unknown,In a Relationship,5 hours,1000,6,Video,"Travel, Adventure",20,8,Once every two months
1994,Male,Bachelor's,Single,3 hours,450,2,Text,"Literature, Poetry",55,22,Twice per week
1998,Female,High School,Single,4 hours,850,3,Image,"Social Media, Travel",65,28,Three times per week
1991,Male,Bachelor's,Married,4 hours,700,2,Video,"Music, Movies",42,15,Once per week
1992,Male,Bachelor's,Single,4.5 hours,800,3,Video,"Technology, Gaming",38,16,Once per week
1996,Female,High School,In a Relationship,3 hours,500,1,Text,"Travel, Photography",25,10,Twice per week
1998,Male,Master's,Married,5 hours,1200,5,Image,"Art, Literature",50,20,Three times per week
1999,Female,Bachelor's,Single,2 hours,300,0,Video,"Music, Dance",15,5,Once per month
